HS6,HS6_name,k,k_name_short,k_name,Sub_sector_name,Sector_name,Excluded_from,Reason
030636,"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"")",0306Xe,"Shrimps & prawns, not frozen","Shrimps and prawns, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030639,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030691,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, dried, salted, smoked or in brine, incl. in shell, cooked by steaming or by boiling in water",0306Xb,Rock lobster & sea crawfish,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not",Fish & shellfish,Sea animal products,,
030692,"Lobsters ""Homarus spp."", whether in shell or not, dried, salted, smoked or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water",0306Xc,"Lobster ""Homarus spp.","Lobsters ""Homarus spp."", whether in shell or not",Fish & shellfish,Sea animal products,,
030693,"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked by steaming or by boiling in water",0306Xd,"Crabs, not frozen","Crabs, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030694,"Norway lobsters ""Nephrops norvegicus"", whether in shell or not, dried, salted, smoked or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030695,"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones in shell, cooked by steaming or by boiling in water",0306Xe,"Shrimps & prawns, not frozen","Shrimps and prawns, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030699,"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in brine, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, dried, salted, smoked or in brine, fit for human consumption",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030710,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine",0307Xa,Oysters,"Oysters, fresh or chilled, frozen, dried, salted or in brine",Fish & shellfish,Sea animal products,,
030711,"Oysters, even in shell, live, fresh or chilled",0307Xa,Oysters,"Oysters, fresh or chilled, frozen, dried, salted or in brine",Fish & shellfish,Sea animal products,,
030712,"Oysters, even in shell, frozen",0307Xa,Oysters,"Oysters, fresh or chilled, frozen, dried, salted or in brine",Fish & shellfish,Sea animal products,,
030719,"Oysters, even in shell, smoked, dried, salted or in brine",0307Xa,Oysters,"Oysters, fresh or chilled, frozen, dried, salted or in brine",Fish & shellfish,Sea animal products,,
030721,"Live, fresh or chilled, scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030722,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, even in shell",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
