HS6,HS6_name,k,k_name_short,k_name,Sub_sector_name,Sector_name,Excluded_from,Reason
040390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excl. yogurt)",040390,"Buttermilk, curdled/fermented milk","Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excl. yogurt)",Dairy products,Animals & animal products,,
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",040410,Whey,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",Dairy products,Animals & animal products,,
040490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",040490,"Milk products, n.e.s.","Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",Dairy products,Animals & animal products,,
040510,Butter (excl. dehydrated butter and ghee),040510,Butter,Butter (excl. dehydrated butter and ghee),Dairy products,Animals & animal products,,
040520,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%",040520,Dairy spreads,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%",Dairy products,Animals & animal products,,
040590,"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined butter and whey butter)",040590,Dairy fats & oils,"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined butter and whey butter)",Dairy products,Animals & animal products,,
040610,"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese, and curd",040610,Fresh cheese,"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese, and curd",Dairy products,Animals & animal products,,
040620,"Grated or powdered cheese, of all kinds",040620,Grated or powdered cheese,"Grated or powdered cheese, of all kinds",Dairy products,Animals & animal products,,
040630,"Processed cheese, not grated or powdered",040630,Processed cheese,"Processed cheese, not grated or powdered",Dairy products,Animals & animal products,,
040640,"Blue-veined cheese and other cheese containing veins produced by ""Penicillium roqueforti",040640,Blue cheese,"Blue-veined cheese and other cheese containing veins produced by ""Penicillium roqueforti",Dairy products,Animals & animal products,,
040690,"Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and other cheese containing veins produced by ""Penicillium roqueforti"", and grated or powdered cheese)",040690,"Cheese, n.e.s.","Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and other cheese containing veins produced by ""Penicillium roqueforti"", and grated or powdered cheese)",Dairy products,Animals & animal products,,
040700,"Birds' eggs, in shell, fresh, preserved or cooked",0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040711,"Fertilised eggs for incubation, of domestic fowls",0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040719,Fertilised birds' eggs for incubation (excl. of domestic fowls),0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040721,"Fresh eggs of domestic fowls, in shell (excl. fertilised for incubation)",0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040729,"Fresh birds' eggs, in shell (excl. of domestic fowls, and fertilised for incubation)",0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040790,"Birds' eggs, in shell, preserved or cooked",0407,Birds' eggs in shell,"Birds' eggs, in shell, fresh, preserved or cooked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040811,"Dried egg yolks, whether or not sweetened",040811,"Egg yolks, dried","Dried egg yolks, whether or not sweetened","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040819,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)",040819,"Egg yolks, n.e.s.","Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040891,"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)",040891,"Birds' eggs, shelled, dried","Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040899,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)",040899,"Birds' eggs, shelled, n.e.s.","Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
040900,Natural honey,040900,Honey,Natural honey,"Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
041000,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",0410,"Edible animal products, n.e.s.","Insects, turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
041010,"Insects, fit for human consumption",0410,"Edible animal products, n.e.s.","Insects, turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
041090,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",0410,"Edible animal products, n.e.s.","Insects, turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",050100,"Human hair, unworked","Human hair, unworked, whether or not washed or scoured; waste of human hair",Animal products (not edible),Animals & animal products,,
050210,"Pigs', hogs' or boars' bristles and waste of such bristles",050210,Pigs & boars' bristles,"Pigs', hogs' or boars' bristles and waste of such bristles",Animal products (not edible),Animals & animal products,,
050290,Badger and other brush making hair and waste thereof,050290,Other brush-making hair,Badger and other brush making hair and waste thereof,Animal products (not edible),Animals & animal products,,
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",050400,"Guts, bladders & stomachs","Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
050510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated for preservation",050510,Feathers & down,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated for preservation",Animal products (not edible),Animals & animal products,,
