# geodist_l1 — capital-to-capital great-circle distance (haversine, km).
# sources: mledoze/countries@c8015eebdd94c533358406b0d709f441389e1f2e (countries.json: cca3, capital, latlng); lutangar/cities.json@e66576247c5d26b1fc65d96a499acff3c3fef827 (cities.json, GeoNames-derived, CC BY 4.0: capital coordinates).
# basis: capital = both endpoints matched a capital city; centroid = at least one endpoint fell back to the country centroid.
# built by tools/build_geodist.py; threshold for «قريبة جغرافياً» lives in the template rules, not here.
iso3_a,iso3_b,distcap_km,basis
ABW,PYF,9346.1,capital
ABW,QAT,12417.7,capital
ABW,REU,14160.4,capital
ABW,ROU,9514.4,capital
ABW,RUS,9926.5,capital
ABW,RWA,11149.2,capital
ABW,SAU,12006.5,capital
ABW,SDN,10943.4,capital
ABW,SEN,5675.5,capital
ABW,SGP,18337.0,capital
ABW,SGS,8074.7,centroid
ABW,SHN,7746.7,capital
ABW,SJM,8546.6,capital
ABW,SLB,14556.3,capital
ABW,SLE,6214.5,capital
ABW,SLV,2078.5,capital
ABW,SMR,8445.7,centroid
ABW,SOM,12701.1,capital
ABW,SPM,4023.7,capital
ABW,SRB,9068.5,capital
ABW,SSD,11143.8,capital
ABW,STP,8562.3,capital
ABW,SUR,1790.3,capital
ABW,SVK,8763.1,capital
ABW,SVN,8589.9,capital
ABW,SWE,8704.8,capital
ABW,SWZ,11728.1,capital
ABW,SXM,966.7,capital
ABW,SYC,13967.2,capital
ABW,SYR,10703.2,capital
ABW,TCA,1000.8,capital
ABW,TCD,9193.1,capital
ABW,TGO,7830.0,capital
ABW,THA,16912.3,capital
ABW,TJK,12906.7,capital
ABW,TKL,11511.9,centroid
ABW,TKM,12251.0,capital
ABW,TLS,18254.1,capital
ABW,TON,12023.5,centroid
ABW,TTO,949.4,capital
ABW,TUN,8311.6,capital
ABW,TUR,10184.4,capital
ABW,TUV,12454.0,capital
ABW,TWN,15652.9,capital
ABW,TZA,11862.3,capital
ABW,UGA,11367.9,capital
ABW,UKR,9667.1,capital
ABW,UMI,12872.6,centroid
ABW,UNK,9163.9,capital
ABW,URY,5471.9,capital
ABW,USA,3892.6,centroid
ABW,UZB,12718.7,capital
ABW,VAT,8464.1,capital
ABW,VCT,956.5,capital
ABW,VEN,410.9,capital
ABW,VGB,875.3,capital
ABW,VIR,846.5,capital
ABW,VNM,16257.5,capital
ABW,VUT,13875.3,centroid
ABW,WLF,12042.8,capital
ABW,WSM,11582.6,capital
ABW,YEM,12538.9,centroid
ABW,ZAF,11419.6,capital
ABW,ZMB,11249.4,capital
ABW,ZWE,11584.4,capital
AFG,AGO,7600.6,capital
AFG,AIA,12277.3,capital
AFG,ALA,4512.1,capital
AFG,ALB,4335.1,capital
AFG,AND,5796.2,capital
AFG,ARE,1813.2,capital
AFG,ARG,15269.7,capital
AFG,ARM,2260.0,capital
AFG,ASM,13645.6,capital
AFG,ATA,13846.9,centroid
AFG,ATF,9327.3,capital
AFG,ATG,12287.4,centroid
AFG,AUS,11356.2,capital
AFG,AUT,4560.6,capital
AFG,AZE,1817.3,capital
AFG,BDI,5884.0,capital
AFG,BEL,5408.2,capital
AFG,BEN,7457.7,capital
AFG,BES,13153.2,capital
AFG,BFA,7473.9,capital
AFG,BGD,2380.3,capital
AFG,BGR,4034.2,capital
AFG,BHR,2003.1,capital
AFG,BHS,12507.3,capital
AFG,BIH,4427.9,capital
AFG,BLM,12290.0,capital
AFG,BLR,3872.0,capital
AFG,BLZ,13802.4,capital
AFG,BMU,11164.1,capital
AFG,BOL,15221.9,capital
AFG,BRA,13456.7,capital
AFG,BRB,12450.7,capital
AFG,BRN,5739.5,capital
AFG,BTN,2098.2,capital
AFG,BVT,11712.5,centroid
AFG,BWA,8007.5,capital
AFG,CAF,6187.5,capital
AFG,CAN,10449.7,capital
AFG,CCK,5955.2,capital
AFG,CHE,5238.3,capital
AFG,CHL,16333.5,capital
AFG,CHN,4175.4,capital
AFG,CIV,8155.5,capital
AFG,CMR,6832.5,capital
AFG,COD,7092.6,capital
AFG,COG,7090.6,capital
AFG,COK,15032.5,capital
AFG,COL,14207.1,capital
AFG,COM,5822.7,capital
AFG,CPV,9313.3,capital
AFG,CRI,14277.8,capital
AFG,CUB,12934.8,capital
AFG,CUW,13198.0,capital
AFG,CXR,6306.9,capital
AFG,CYM,13269.3,capital
AFG,CYP,3251.4,capital
AFG,CZE,4701.7,capital
AFG,DEU,4776.8,capital
AFG,DJI,3664.7,capital
AFG,DMA,12402.6,capital
AFG,DNK,4851.7,capital
AFG,DOM,12704.0,capital
AFG,DZA,5854.6,capital
AFG,ECU,14935.3,capital
AFG,EGY,3578.0,capital
AFG,ERI,3696.9,capital
AFG,ESH,7816.6,centroid
AFG,ESP,6280.6,capital
AFG,EST,4233.1,capital
AFG,ETH,4199.4,capital
AFG,FIN,4253.1,capital
AFG,FJI,12871.9,capital
AFG,FLK,15433.0,capital
AFG,FRA,5581.5,capital
AFG,FRO,5952.2,capital
AFG,FSM,9479.6,capital
AFG,GAB,7251.0,capital
AFG,GBR,5707.0,capital
AFG,GEO,2264.0,capital
AFG,GGY,5920.4,centroid
AFG,GHA,7771.6,capital
AFG,GIB,6584.3,capital
AFG,GIN,8756.9,capital
AFG,GLP,12369.9,capital
AFG,GMB,8781.6,capital
AFG,GNB,8789.5,capital
AFG,GNQ,7081.5,capital
AFG,GRC,4052.6,capital
AFG,GRD,12683.4,centroid
AFG,GRL,7891.8,capital
AFG,GTM,14141.2,capital
AFG,GUF,12492.0,capital
AFG,GUM,7853.8,capital
AFG,GUY,12831.5,capital
AFG,HKG,4568.4,centroid
AFG,HMD,9749.2,centroid
AFG,HND,14061.5,capital
AFG,HRV,4600.1,capital
AFG,HTI,12847.3,capital
AFG,HUN,4361.5,capital
AFG,IDN,6011.5,capital
AFG,IMN,5945.9,capital
AFG,IND,1005.2,capital
AFG,IOT,4513.1,centroid
AFG,IRL,6077.5,capital
AFG,IRN,1617.6,capital
AFG,IRQ,2283.4,capital
AFG,ISL,6647.1,capital
AFG,ISR,3161.3,capital
AFG,ITA,4927.4,capital
AFG,JAM,13155.1,capital
AFG,JEY,5893.2,capital
AFG,JOR,3089.5,capital
AFG,JPN,6268.1,capital
AFG,KAZ,1860.6,capital
AFG,KEN,5216.8,capital
AFG,KGZ,1039.3,capital
AFG,KHM,4421.3,capital
AFG,KIR,11178.9,centroid
AFG,KNA,12331.8,capital
AFG,KOR,5125.3,capital
AFG,KWT,2076.3,capital
AFG,LAO,3782.4,capital
AFG,LBN,3082.6,capital
AFG,LBR,8693.3,capital
AFG,LBY,5113.9,capital
AFG,LCA,12481.7,capital
AFG,LIE,5079.7,capital
AFG,LKA,3257.5,capital
AFG,LSO,8339.1,capital
AFG,LTU,4038.8,capital
AFG,LUX,5297.7,capital
AFG,LVA,4179.3,capital
AFG,MAC,4515.4,centroid
AFG,MAF,12291.6,capital
AFG,MAR,6801.8,capital
AFG,MCO,5298.9,capital
AFG,MDA,3618.9,capital
AFG,MDG,6367.8,capital
AFG,MDV,3404.6,capital
AFG,MEX,13889.1,capital
AFG,MHL,10664.4,capital
AFG,MKD,4194.5,capital
AFG,MLI,8049.2,capital
AFG,MLT,4901.2,capital
AFG,MMR,3132.7,centroid
AFG,MNE,4368.0,capital
AFG,MNG,3443.0,capital
AFG,MNP,7843.3,capital
AFG,MOZ,7752.9,capital
AFG,MRT,8449.2,capital
AFG,MSR,12345.2,capital
AFG,MTQ,12437.1,capital
