path,area,bytes,lines,flags
evals/golden_set/netherlands_dates.json,config_assets,417,21,
evals/hs_golden_set.csv,config_assets,7626,84,
evals/scores.json,config_assets,3,1,
fix_agent.py,runtime,9963,177,
migrations/001_core.sql,migrations,5407,152,
migrations/002_settings.sql,migrations,415,7,
migrations/003_agent_runs.sql,migrations,682,17,
migrations/004_hs_classify_cache.sql,migrations,649,9,
migrations/005_collection_runs_index.sql,migrations,434,5,
migrations/platform/001_platform_core.sql,migrations,15079,304,
migrations/platform/002_login_attempts.sql,migrations,957,14,
migrations/platform/003_email_queue_claim_tracking.sql,migrations,809,10,
migrations/platform/004_funnel_selection_columns.sql,migrations,1458,18,
migrations/platform/005_per_user_study_quota.sql,migrations,1970,25,
migrations/platform/006_market_study_pivot.sql,migrations,2787,32,
migrations/platform/007_run_stats.sql,migrations,1239,13,
migrations/platform/008_language_chosen.sql,migrations,1023,11,
migrations/platform/009_notifications.sql,migrations,1646,23,
migrations/platform/010_products.sql,migrations,1412,23,
migrations/platform/011_hs_candidates.sql,migrations,2652,26,
migrations/platform/012_tier_settings.sql,migrations,2374,28,
migrations/platform/013_factory_language.sql,migrations,2778,32,
migrations/platform/014_product_economics.sql,migrations,1584,20,
migrations/platform/015_study_production_cost.sql,migrations,994,10,
migrations/platform/016_quota_reset_watermark.sql,migrations,1675,19,
migrations/platform/017_hs_classification_provenance.sql,migrations,2190,25,
migrations/platform/018_study_runs.sql,migrations,3193,40,
migrations/platform/019_study_advisories_ack.sql,migrations,1313,14,
migrations/platform/020_indexes.sql,migrations,1196,12,
migrations/platform/021_study_hs_source.sql,migrations,337,4,
railway.json,config_assets,515,14,
requirements-ci.txt,config_assets,2427,33,
requirements-dev.txt,config_assets,805,11,
requirements-nightly.txt,config_assets,506,5,
requirements.txt,config_assets,2140,27,
samples/README.md,docs,6093,34,
samples/academic_report_latest.docx,config_assets,42852,154,binary_or_generated_review
samples/analysis_latest.json,config_assets,183815,4241,
samples/brief_latest.txt,config_assets,717,12,
samples/client_report_latest.docx,config_assets,49084,187,binary_or_generated_review
samples/client_report_latest_en.docx,config_assets,42501,174,binary_or_generated_review
samples/kuwait_peanut_butter_research_report.docx,config_assets,42967,152,binary_or_generated_review
samples/kuwait_peanut_butter_research_report.md,docs,9206,122,
samples/report_full_latest.docx,config_assets,47109,172,binary_or_generated_review
samples/report_full_latest.md,docs,18726,200,
samples/research_report_latest.docx,config_assets,47971,180,binary_or_generated_review
samples/research_report_latest.md,docs,17595,230,
silk_agents.py,runtime,30234,537,
silk_ai_judge.py,runtime,200772,2654,
silk_backup.py,runtime,17006,321,
silk_blocs.py,runtime,3461,44,
